,0.10,0.20,0.50,1.00,2.00,5.00,10.00,20.00
orb,0.00,0.00,1.80,3.81,9.82,22.44,41.28,55.71
torb,0.20,0.40,3.21,9.82,17.84,33.87,50.50,67.94
sift,1.40,4.81,14.03,21.24,30.86,44.29,58.92,71.54
tsift,1.20,4.81,27.66,45.09,54.31,66.33,74.15,83.97
spoint,0.40,7.40,32.00,44.60,54.40,62.20,66.60,73.20
tspoint,0.80,4.40,22.00,39.00,47.40,54.40,59.00,61.40
sphorb,0.40,1.00,5.81,11.22,20.44,37.27,50.30,65.53
alike,0.60,0.60,1.00,2.00,2.40,3.00,3.80,4.40
talike,0.40,0.40,2.80,4.00,5.60,7.40,8.20,9.20
Ltspoint,1.60,7.80,26.00,36.60,43.20,48.00,49.00,52.40
Proposed,1.00,6.80,38.60,58.40,71.80,81.80,86.00,93.80
